sentence;difficulty
Nous sommes en vacances.;A1
Je m'appelle Jean.;A1
Il habite en Italie avec sa femme et ses enfants.;A1
il y a plus de 50 pays francophones !;A1
Il est danois.;A1
Cette voiture ressemble à ma voiture.;A1
Merci Marco, c'est très gentil !;A1
Vous faites de l'exercice physique;A1
Je voudrais poser une question.;A1
Nous écoutons de la musique.;A1
Dans le centre de la ville, il y a un très joli quartier, plein de magasins chics et de bons restaurants;A1
Je m'appelle Hugo et j'ai seize ans.;A1
Tu me manques beaucoup;A1
La vie en France est très différente de celle au Canada.;A1
Le chat a alors fait tomber la télécommande.;A1
La police cherche le voleur de mon vélo.;A1
Quand j'étais petit, j'habitais à la campagne je voulais être écrivain;A1
Vous regardez la télévision.;A1
Je vais étudier l'anglais;A1
La longueur est une distance mais une sensation aussi.;A1
Où est la salle 33 ?;A1
Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus;A1
Nous organisons une soirée le 31, à partir de 19 heures, vous viendrez, n'est-ce pas?;A1
Il fait froid en hiver.;A1
Ma mère est allemande et est avocate;A1
Je vous rappelle vos rendez-vous de demain, mardi.;A1
L'école donne des cours de français.;A1
Le matin, elle va au marché du village pour acheter des fruits et des légumes, et pour discuter avec ses voisins;A1
Il travaille à Rome;A1
J'habite à New-York. Et toi ?;A1
J'aime le ski.;A1
Je travaille dans une entreprise d'informatique.;A1
Vous allez bientôt avoir une grande surprise !;A1
Vous rentrez à quelle heure ?;A1
Merci monsieur, au revoir.;A1
J'achète un livre, un pantalon et une nouvelle lampe pour ma chambre.;A1
Je m'appelle Lucas.;A1
Vous aimez votre travail ?;A1
Mon père a eu une mutation pour venir travailler à Paris.;A1
Elle est née quel jour ?;A1
Le dimanche, nous aimons nous promener en famille dans la forêt proche de notre maison et faire des jeux;A1
j'aime beaucoup faire du parapente.;A1
Je m'appelle Jessica;A1
Toi, tu peux apporter un jus de fruits.;A1
Vous êtes français;A1
Puis-je utiliser les toilettes?;A1
Le brun, aussi appelé marron, est la couleur du café, de la terre et de l'écorce des arbres.;A1
Il a un pantalon vert et une chemise blanche;A1
Ce pantalon est trop cher !;A1
Vous devez habiter dans le centre de Limoges ou avoir une voiture.;A1
Tu peux me prêter ton stylos s'il-te-plaît ?;A1
Ensuite, je prends ma douche pour finir de me réveiller;A1
Nous vous souhaitons un bon voyage.;A1
Là-bas tout le monde parle anglais;A1
J'ai 23 ans, je parle chinois, j'aime la lecture !;A1
Marie est mon amie.;A1
Je suis contente, je vais voir Amélie;A1
Aujourd'hui, avec mes parents et ma soeur nous partons en voyage.;A1
Ce spectacle est très amusant.;A1
Tu es toujours étudiant ?;A1
Simon a mis le chat par terre, mais le chat est revenu sur le fauteuil.;A1
Oui, vous voyagez en première ou en seconde ?;A1
Je mettrai la tasse sur la table.;A1
J'ai mangé une pomme.;A1
Je recherche une personne pour garder mes enfants de 1 et 7 ans.;A1
Si Dieu le veut Bonjour, Anne!;A1
Il est 17h;A1
Le restaurant n'est pas loin du musée du Louvre;A1
Tu parles bien anglais.;A1
Et, paradoxalement, boire froid n'est pas la bonne parade.;A1
Il pleut et j'attends l'autobus;A1
J'ai mangé un hamburger et des frites.;A1
Il a les cheveux blonds;A1
Je suis chez Camille;A1
Je te quitte pour aller travailler. Bonne visite.;A1
Je travaille comme serveur dans un petit restaurant;A1
Le rouge est une couleur vive.;A1
Tu es un vrai chef cuisinier;A1
Moi, je suis musicien, je suis violoniste.;A1
