sentence,difficulty,wordnb,cognate,cognatenb,cognateratio
C'est pour quand ?,A1,4,"[""c'"", 'est ', 'pour']",3,0.75
Je pense que c'est bon.,A1,6,"['je ', 'que', ""c'"", 'est ', 'bon']",5,0.8333333333333334
C'est pas mal.,A1,4,"[""c'"", 'est ', 'pas', 'mal']",4,1.0
Qu'est-ce que vous faites ?,A1,6,"[""qu'"", 'est-', 'ce ', 'que', 'vous']",5,0.8333333333333334
C'est bien !,A1,3,"[""c'"", 'est ', 'bien']",3,1.0
Ce n'est pas juste.,A1,5,"['ce ', ""n'"", 'est ', 'pas', 'juste']",5,1.0
Je ne veux pas.,A1,4,"['je ', 'ne ', 'veux', 'pas']",4,1.0
Je ne sais pas.,A1,4,"['je ', 'ne ', 'sais', 'pas']",4,1.0
Plus que ça.,A1,3,"['plus', 'que']",2,0.6666666666666666
"Non, je ne le trouve pas !",A1,6,"['non', 'je ', 'ne ', 'le ', 'pas']",5,0.8333333333333334
Qu'est-ce que ça veut dire ?,A1,7,"[""qu'"", 'est-', 'ce ', 'que', 'veut', 'dire']",6,0.8571428571428571
C'est déjà ça.,A1,4,"[""c'"", 'est ', 'déjà']",3,0.75
Je m'en vais.,A1,4,"['je ', ""m'en"", 'en ', 'vais']",4,1.0
Je ne comprends pas.,A1,4,"['je ', 'ne ', 'comprends', 'pas']",4,1.0
Je ne te crois pas.,A1,5,"['je ', 'ne ', 'te ', 'crois ', 'pas']",5,1.0
Je ne me sens pas bien.,A1,6,"['je ', 'ne ', 'me ', 'sens', 'pas', 'bien']",6,1.0
Tu ne comprends pas.,A1,4,"['tu ', 'ne ', 'comprends', 'pas']",4,1.0
C'est pour la photo !,A1,5,"[""c'"", 'est ', 'pour', 'la ', 'photo']",5,1.0
"Je suis désolée, elle n'est pas là.",A1,8,"['je ', 'suis', 'elle', ""n'"", 'est ', 'pas']",6,0.75
Je n'ai pas bien compris.,A1,6,"['je ', ""n'ai"", 'ai ', 'pas', 'bien']",5,0.8333333333333334
Je suis d'accord.,A1,4,"['je ', 'suis', 'accord']",3,0.75
Ce n'est pas important.,A1,5,"['ce ', ""n'"", 'est ', 'pas']",4,0.8
Et toi ?,A1,2,"['et ', 'toi']",2,1.0
Mais il y a un problème .,A1,6,"['mais', 'il ', 'y a ', 'a un', 'un']",5,0.8333333333333334
Est-ce que ça suffit?,A1,5,"['est-', 'ce ', 'que']",3,0.6
Il n'a pas de veste,A1,6,"['il ', ""n'a "", 'a pas ', 'pas', 'de ', 'veste']",6,1.0
Va-t'en !,A1,3,"['va-', ""t'en""]",2,0.6666666666666666
Qu'est-ce que tu regardes ?,A1,6,"[""qu'"", 'est-', 'ce ', 'que', 'tu ', 'regardes']",6,1.0
Pourquoi il ne parle pas ?,A1,5,"['il ', 'ne ', 'parle', 'pas']",4,0.8
C'est fini.,A1,3,"[""c'"", 'est ', 'fini']",3,1.0
Est-ce qu'il y a du pain?,A1,8,"['est-', 'ce ', ""qu'"", 'il ', 'y a ', 'du ', 'pain']",7,0.875
"C'est ici, Monsieur.",A1,4,"[""c'"", 'est ', 'ici']",3,0.75
Qu'est-ce qu'ils font ?,A1,6,"[""qu'"", 'est-', 'ce ', ""qu'"", 'ils ', 'font']",6,1.0
Qu'est ce que vous faites dans le parc?,A1,9,"[""qu'"", 'est ', 'ce ', 'que', 'vous', 'dans', 'le ', 'parc']",8,0.8888888888888888
Ne m'attends pas.,A1,4,"['ne ', ""m'"", 'attends', 'pas']",4,1.0
Y a-t-il de la place pour moi avec vous ?,A1,11,"['y a-', 'a-t-', 't-il', 'il ', 'de ', 'la ', 'place ', 'pour', 'moi', 'avec', 'vous']",11,1.0
Pas de fête avec vous ce soir,A1,7,"['pas', 'de ', 'fête', 'avec', 'vous', 'ce ', 'soir']",7,1.0
Ça ne marche pas.,A1,4,"['ne ', 'marche', 'pas']",3,0.75
Je reste à la maison,A1,5,"['je ', 'reste ', 'la ']",3,0.6
Est-ce qu'il y a des devoirs?,A1,8,"['est-', 'ce ', ""qu'"", 'il ', 'y a ', 'a des ', 'des ']",7,0.875
Il est gros.,A1,3,"['il ', 'est ', 'gros']",3,1.0
Je suis désolé,A1,3,"['je ', 'suis']",2,0.6666666666666666
S'il vous plaît.,A1,4,"[""s'il"", 'il ', 'vous']",3,0.75
J'ai mal à la tête.,A1,6,"[""j'ai"", 'ai ', 'mal ', 'la ', 'tête']",5,0.8333333333333334
Je n'ai pas de voiture et je n'aime pas beaucoup prendre le métro,A1,15,"['je ', ""n'ai"", 'ai ', 'pas', 'de ', 'et ', 'je ', ""n'"", 'pas', 'le ']",10,0.6666666666666666
Où est-ce que vous allez Madame ?,A1,7,"['est-', 'ce ', 'que', 'vous']",4,0.5714285714285714
Non.,A1,1,['non'],1,1.0
Oui c'est pour combien de personnes ?,A1,7,"['oui', ""c'"", 'est ', 'pour', 'de ']",5,0.7142857142857143
"Et chez vous, comment va la vie ?",A1,7,"['et ', 'chez', 'vous', 'comment ', 'va ', 'la ', 'vie']",7,1.0
Il ne vient pas à la fête ce soir,A1,9,"['il ', 'ne ', 'pas', 'la ', 'fête', 'ce ', 'soir']",7,0.7777777777777778
Je me sens bien.,A1,4,"['je ', 'me ', 'sens', 'bien']",4,1.0
J'ai une question.,A1,4,"[""j'ai"", 'ai ', 'une ']",3,0.75
Tu n'as pas de stylo ?,A1,6,"['tu ', ""n'as"", 'as ', 'pas', 'de ', 'stylo']",6,1.0
D'où viens-tu ?,A1,4,"[""d'où""]",1,0.25
Il a mal à la tête à cause de la musique.,A1,11,"['il ', 'a mal ', 'mal ', 'la ', 'tête', 'cause', 'de ', 'la ']",8,0.7272727272727273
Tu viens d'où ?,A1,4,"['tu ', ""d'où""]",2,0.5
C'est facile !,A1,3,"[""c'"", 'est ']",2,0.6666666666666666
Il est l'heure de déjeuner !,A1,6,"['il ', 'est ', 'de ']",3,0.5
Il est peut-être chez moi.,A1,6,"['il ', 'est ', 'peut', 'chez', 'moi']",5,0.8333333333333334
